Category,Region,Year,Value
"Total","Constanta","2015","39"
"Total","Constanta","2016","39"
"Total","Constanta","2017","39"
"Total","Constanta","2018","39"
"Total","Constanta","2019","40"
"Total","Galati","1990","36"
"Total","Galati","1991","36"
"Total","Galati","1992","36"
"Total","Galati","1993","36"
"Total","Galati","1994","37"
"Total","Galati","1995","36"
"Total","Galati","1996","36"
"Total","Galati","1997","36"
"Total","Galati","1998","36"
"Total","Galati","1999","36"
"Total","Galati","2000","36"
"Total","Galati","2001","36"
"Total","Galati","2002","36"
"Total","Galati","2003","36"
"Total","Galati","2004","37"
"Total","Galati","2005","37"
"Total","Galati","2006","36"
"Total","Galati","2007","37"
"Total","Galati","2008","38"
"Total","Galati","2009","38"
"Total","Galati","2010","38"
"Total","Galati","2011","38"
"Total","Galati","2012","38"
"Total","Galati","2013","37"
"Total","Galati","2014","37"
"Total","Galati","2015","37"
"Total","Galati","2016","37"
"Total","Galati","2017","37"
"Total","Galati","2018","37"
"Total","Galati","2019","37"
"Total","Tulcea","1990","102"
"Total","Tulcea","1991","102"
"Total","Tulcea","1992","102"
"Total","Tulcea","1993","102"
"Total","Tulcea","1994","102"
"Total","Tulcea","1995","102"
"Total","Tulcea","1996","102"
"Total","Tulcea","1997","102"
"Total","Tulcea","1998","102"
"Total","Tulcea","1999","102"
"Total","Tulcea","2000","102"
"Total","Tulcea","2001","102"
"Total","Tulcea","2002","103"
"Total","Tulcea","2003","103"
"Total","Tulcea","2004","103"
"Total","Tulcea","2005","104"
"Total","Tulcea","2006","104"
"Total","Tulcea","2007","104"
"Total","Tulcea","2008","104"
"Total","Tulcea","2009","104"
"Total","Tulcea","2010","105"
"Total","Tulcea","2011","105"
"Total","Tulcea","2012","105"
"Total","Tulcea","2013","105"
"Total","Tulcea","2014","105"
"Total","Tulcea","2015","105"
"Total","Tulcea","2016","105"
"Total","Tulcea","2017","105"
"Total","Tulcea","2018","105"
"Total","Tulcea","2019","105"
"Total","Vrancea","1990","183"
"Total","Vrancea","1991","183"
"Total","Vrancea","1992","183"
"Total","Vrancea","1993","183"
"Total","Vrancea","1994","183"
"Total","Vrancea","1995","186"
"Total","Vrancea","1996","184"
"Total","Vrancea","1997","184"
"Total","Vrancea","1998","184"
"Total","Vrancea","1999","184"
"Total","Vrancea","2000","184"
"Total","Vrancea","2001","184"
"Total","Vrancea","2002","192"
"Total","Vrancea","2003","184"
"Total","Vrancea","2004","186"
"Total","Vrancea","2005","184"
"Total","Vrancea","2006","184"
"Total","Vrancea","2007","185"
"Total","Vrancea","2008","182"
"Total","Vrancea","2009","185"
"Total","Vrancea","2010","185"
"Total","Vrancea","2011","181"
"Total","Vrancea","2012","182"
"Total","Vrancea","2013","179"
"Total","Vrancea","2014","179"
"Total","Vrancea","2015","181"
"Total","Vrancea","2016","181"
"Total","Vrancea","2017","181"
"Total","Vrancea","2018","181"
"Total","Vrancea","2019","183"
"Total","Arges","1990","278"
"Total","Arges","1991","278"
"Total","Arges","1992","278"
"Total","Arges","1993","278"
"Total","Arges","1994","279"
"Total","Arges","1995","280"
"Total","Arges","1996","280"
"Total","Arges","1997","280"
"Total","Arges","1998","280"
"Total","Arges","1999","280"
"Total","Arges","2000","279"
"Total","Arges","2001","279"
"Total","Arges","2002","279"
"Total","Arges","2003","277"
"Total","Arges","2004","277"
"Total","Arges","2005","277"
"Total","Arges","2006","277"
"Total","Arges","2007","278"
"Total","Arges","2008","277"
"Total","Arges","2009","277"
"Total","Arges","2010","277"
"Total","Arges","2011","277"
"Total","Arges","2012","277"
"Total","Arges","2013","277"
"Total","Arges","2014","277"
"Total","Arges","2015","277"
"Total","Arges","2016","277"
"Total","Arges","2017","277"
"Total","Arges","2018","277"
"Total","Arges","2019","277"
"Total","Calarasi","1990","21"
"Total","Calarasi","1991","21"
"Total","Calarasi","1992","21"
"Total","Calarasi","1993","21"
"Total","Calarasi","1994","21"
"Total","Calarasi","1995","21"
"Total","Calarasi","1996","21"
"Total","Calarasi","1997","21"
"Total","Calarasi","1998","21"
"Total","Calarasi","1999","21"
"Total","Calarasi","2000","21"
"Total","Calarasi","2001","21"
"Total","Calarasi","2002","21"
"Total","Calarasi","2003","21"
"Total","Calarasi","2004","21"
"Total","Calarasi","2005","21"
"Total","Calarasi","2006","22"
"Total","Calarasi","2007","22"
"Total","Calarasi","2008","22"
"Total","Calarasi","2009","22"
"Total","Calarasi","2010","22"
"Total","Calarasi","2011","22"
"Total","Calarasi","2012","22"
"Total","Calarasi","2013","22"
"Total","Calarasi","2014","22"
"Total","Calarasi","2015","22"
"Total","Calarasi","2016","22"
"Total","Calarasi","2017","22"
"Total","Calarasi","2018","22"
"Total","Calarasi","2019","22"
"Total","Dambovita","1990","119"
"Total","Dambovita","1991","119"
"Total","Dambovita","1992","119"
"Total","Dambovita","1993","119"
"Total","Dambovita","1994","119"
"Total","Dambovita","1995","119"
"Total","Dambovita","1996","119"
"Total","Dambovita","1997","119"
"Total","Dambovita","1998","118"
"Total","Dambovita","1999","119"
"Total","Dambovita","2000","118"
"Total","Dambovita","2001","118"
"Total","Dambovita","2002","118"
"Total","Dambovita","2003","118"
"Total","Dambovita","2004","119"
"Total","Dambovita","2005","118"
"Total","Dambovita","2006","119"
"Total","Dambovita","2007","118"
"Total","Dambovita","2008","119"
"Total","Dambovita","2009","118"
"Total","Dambovita","2010","119"
"Total","Dambovita","2011","120"
"Total","Dambovita","2012","119"
"Total","Dambovita","2013","119"
"Total","Dambovita","2014","119"
"Total","Dambovita","2015","119"
"Total","Dambovita","2016","119"
"Total","Dambovita","2017","119"
"Total","Dambovita","2018","119"
"Total","Dambovita","2019","119"
"Total","Giurgiu","1990","40"
"Total","Giurgiu","1991","46"
"Total","Giurgiu","1992","40"
"Total","Giurgiu","1993","40"
"Total","Giurgiu","1994","38"
"Total","Giurgiu","1995","38"
"Total","Giurgiu","1996","38"
"Total","Giurgiu","1997","38"
"Total","Giurgiu","1998","38"
"Total","Giurgiu","1999","38"
"Total","Giurgiu","2000","38"
"Total","Giurgiu","2001","38"
"Total","Giurgiu","2002","38"
"Total","Giurgiu","2003","38"
"Total","Giurgiu","2004","38"
"Total","Giurgiu","2005","38"
"Total","Giurgiu","2006","38"
"Total","Giurgiu","2007","38"
"Total","Giurgiu","2008","38"
"Total","Giurgiu","2009","39"
"Total","Giurgiu","2010","38"
"Total","Giurgiu","2011","38"
"Total","Giurgiu","2012","39"
"Total","Giurgiu","2013","39"
"Total","Giurgiu","2014","39"
"Total","Giurgiu","2015","39"
"Total","Giurgiu","2016","39"
"Total","Giurgiu","2017","39"
"Total","Giurgiu","2018","39"
"Total","Giurgiu","2019","39"
"Total","Ialomita","1990","26"
"Total","Ialomita","1991","26"
"Total","Ialomita","1992","26"
"Total","Ialomita","1993","26"
"Total","Ialomita","1994","26"
"Total","Ialomita","1995","26"
"Total","Ialomita","1996","26"
"Total","Ialomita","1997","26"
"Total","Ialomita","1998","26"
"Total","Ialomita","1999","26"
"Total","Ialomita","2000","26"
"Total","Ialomita","2001","26"
"Total","Ialomita","2002","26"
"Total","Ialomita","2003","26"
"Total","Ialomita","2004","26"
"Total","Ialomita","2005","26"
"Total","Ialomita","2006","26"
"Total","Ialomita","2007","26"
"Total","Ialomita","2008","26"
"Total","Ialomita","2009","26"
"Total","Ialomita","2010","26"
"Total","Ialomita","2011","26"
"Total","Ialomita","2012","26"
"Total","Ialomita","2013","26"
"Total","Ialomita","2014","26"
"Total","Ialomita","2015","26"
"Total","Ialomita","2016","26"
"Total","Ialomita","2017","26"
"Total","Ialomita","2018","26"
"Total","Ialomita","2019","26"
"Total","Prahova","1990","149"
"Total","Prahova","1991","149"
"Total","Prahova","1992","149"
"Total","Prahova","1993","149"
"Total","Prahova","1994","148"
"Total","Prahova","1995","148"
"Total","Prahova","1996","148"
"Total","Prahova","1997","148"
"Total","Prahova","1998","148"
"Total","Prahova","1999","148"
"Total","Prahova","2000","148"
"Total","Prahova","2001","148"
"Total","Prahova","2002","148"
"Total","Prahova","2003","146"
"Total","Prahova","2004","146"
"Total","Prahova","2005","148"
"Total","Prahova","2006","147"
"Total","Prahova","2007","146"
"Total","Prahova","2008","147"
"Total","Prahova","2009","146"
"Total","Prahova","2010","147"
"Total","Prahova","2011","147"
"Total","Prahova","2012","146"
"Total","Prahova","2013","146"
"Total","Prahova","2014","146"
"Total","Prahova","2015","146"
"Total","Prahova","2016","147"
"Total","Prahova","2017","146"
"Total","Prahova","2018","146"
"Total","Prahova","2019","146"
"Total","Teleorman","1990","28"
"Total","Teleorman","1991","28"
"Total","Teleorman","1992","28"
"Total","Teleorman","1993","28"
"Total","Teleorman","1994","29"
"Total","Teleorman","1995","29"
"Total","Teleorman","1996","29"
"Total","Teleorman","1997","29"
"Total","Teleorman","1998","29"
"Total","Teleorman","1999","29"
"Total","Teleorman","2000","29"
"Total","Teleorman","2001","29"
"Total","Teleorman","2002","29"
"Total","Teleorman","2003","29"
"Total","Teleorman","2004","29"
"Total","Teleorman","2005","29"
"Total","Teleorman","2006","30"
"Total","Teleorman","2007","29"
"Total","Teleorman","2008","29"
"Total","Teleorman","2009","29"
"Total","Teleorman","2010","30"
"Total","Teleorman","2011","29"
"Total","Teleorman","2012","29"
"Total","Teleorman","2013","29"
"Total","Teleorman","2014","29"
"Total","Teleorman","2015","29"
"Total","Teleorman","2016","29"
"Total","Teleorman","2017","29"
"Total","Teleorman","2018","29"
"Total","Teleorman","2019","29"
"Total","Ilfov","1990","26"
"Total","Ilfov","1991","20"
"Total","Ilfov","1992","26"
"Total","Ilfov","1993","26"
"Total","Ilfov","1994","26"
"Total","Ilfov","1995","26"
"Total","Ilfov","1996","26"
"Total","Ilfov","1997","26"
"Total","Ilfov","1998","26"
"Total","Ilfov","1999","26"
"Total","Ilfov","2000","26"
"Total","Ilfov","2001","26"
"Total","Ilfov","2002","26"
"Total","Ilfov","2003","26"
"Total","Ilfov","2004","26"
"Total","Ilfov","2005","26"
"Total","Ilfov","2006","26"
"Total","Ilfov","2007","26"
"Total","Ilfov","2008","26"
"Total","Ilfov","2009","26"
"Total","Ilfov","2010","26"
"Total","Ilfov","2011","26"
"Total","Ilfov","2012","26"
"Total","Ilfov","2013","26"
"Total","Ilfov","2014","26"
"Total","Ilfov","2015","26"
"Total","Ilfov","2016","26"
"Total","Ilfov","2017","26"
"Total","Ilfov","2018","26"
"Total","Ilfov","2019","26"
"Total","Bucuresti","2001","1"
"Total","Bucuresti","2002","1"
"Total","Bucuresti","2003","1"
"Total","Bucuresti","2004","1"
"Total","Bucuresti","2005","1"
"Total","Bucuresti","2006","1"
"Total","Bucuresti","2007","1"
"Total","Bucuresti","2008","1"
"Total","Bucuresti","2009","1"
"Total","Bucuresti","2010","1"
"Total","Bucuresti","2011","1"
"Total","Bucuresti","2012","1"
"Total","Bucuresti","2013","1"
"Total","Bucuresti","2014","1"
"Total","Bucuresti","2015","1"
"Total","Bucuresti","2016","1"
"Total","Bucuresti","2017","1"
"Total","Bucuresti","2018","1"
"Total","Bucuresti","2019","1"
"Total","Dolj","1990","82"
"Total","Dolj","1991","82"
"Total","Dolj","1992","82"
"Total","Dolj","1993","82"
"Total","Dolj","1994","82"
"Total","Dolj","1995","82"
"Total","Dolj","1996","82"
"Total","Dolj","1997","82"
"Total","Dolj","1998","83"
"Total","Dolj","1999","84"
"Total","Dolj","2000","84"
"Total","Dolj","2001","84"
"Total","Dolj","2002","86"
"Total","Dolj","2003","86"
"Total","Dolj","2004","86"
"Total","Dolj","2005","86"
"Total","Dolj","2006","86"
"Total","Dolj","2007","86"
"Total","Dolj","2008","86"
"Total","Dolj","2009","86"
"Total","Dolj","2010","86"
"Total","Dolj","2011","87"
"Total","Dolj","2012","87"
"Total","Dolj","2013","89"
"Total","Dolj","2014","89"
"Total","Dolj","2015","89"
"Total","Dolj","2016","89"
"Total","Dolj","2017","88"
"Total","Dolj","2018","88"
"Total","Dolj","2019","88"
"Total","Gorj","1990","254"
"Total","Gorj","1991","253"
"Total","Gorj","1992","254"
"Total","Gorj","1993","255"
"Total","Gorj","1994","255"
"Total","Gorj","1995","249"
"Total","Gorj","1996","249"
"Total","Gorj","1997","249"
"Total","Gorj","1998","249"
"Total","Gorj","1999","249"
"Total","Gorj","2000","249"
"Total","Gorj","2001","249"
"Total","Gorj","2002","248"
"Total","Gorj","2003","248"
"Total","Gorj","2004","248"
"Total","Gorj","2005","247"
"Total","Gorj","2006","248"
"Total","Gorj","2007","250"
"Total","Gorj","2008","248"
"Total","Gorj","2009","248"
"Total","Gorj","2010","248"
"Total","Gorj","2011","248"
"Total","Gorj","2012","248"
"Total","Gorj","2013","248"
"Total","Gorj","2014","248"
"Total","Gorj","2015","249"
"Total","Gorj","2016","249"
"Total","Gorj","2017","250"
"Total","Gorj","2018","250"
"Total","Gorj","2019","250"
"Total","Mehedinti","1990","146"
"Total","Mehedinti","1991","146"
"Total","Mehedinti","1992","146"
"Total","Mehedinti","1993","146"
"Total","Mehedinti","1994","146"
"Total","Mehedinti","1995","146"
"Total","Mehedinti","1996","146"
"Total","Mehedinti","1997","146"
"Total","Mehedinti","1998","146"
"Total","Mehedinti","1999","146"
"Total","Mehedinti","2000","146"
"Total","Mehedinti","2001","146"
"Total","Mehedinti","2002","146"
"Total","Mehedinti","2003","146"
"Total","Mehedinti","2004","147"
"Total","Mehedinti","2005","147"
"Total","Mehedinti","2006","147"
"Total","Mehedinti","2007","148"
"Total","Mehedinti","2008","148"
"Total","Mehedinti","2009","148"
"Total","Mehedinti","2010","148"
"Total","Mehedinti","2011","148"
"Total","Mehedinti","2012","148"
"Total","Mehedinti","2013","148"
"Total","Mehedinti","2014","148"
"Total","Mehedinti","2015","149"
"Total","Mehedinti","2016","149"
"Total","Mehedinti","2017","150"
"Total","Mehedinti","2018","150"
"Total","Mehedinti","2019","149"
"Total","Olt","1990","53"
"Total","Olt","1991","53"
"Total","Olt","1992","53"
"Total","Olt","1993","53"
"Total","Olt","1994","52"
"Total","Olt","1995","52"
"Total","Olt","1996","52"
"Total","Olt","1997","52"
"Total","Olt","1998","52"
"Total","Olt","1999","52"
"Total","Olt","2000","52"
"Total","Olt","2001","52"
"Total","Olt","2002","53"
"Total","Olt","2003","53"
"Total","Olt","2004","53"
"Total","Olt","2005","53"
"Total","Olt","2006","53"
"Total","Olt","2007","54"
"Total","Olt","2008","54"
"Total","Olt","2009","54"
"Total","Olt","2010","54"
"Total","Olt","2011","54"
"Total","Olt","2012","54"
"Total","Olt","2013","54"
"Total","Olt","2014","54"
"Total","Olt","2015","54"
"Total","Olt","2016","54"
"Total","Olt","2017","54"
"Total","Olt","2018","54"
"Total","Olt","2019","54"
"Total","Valcea","1990","272"
"Total","Valcea","1991","272"
"Total","Valcea","1992","271"
"Total","Valcea","1993","271"
"Total","Valcea","1994","272"
"Total","Valcea","1995","270"
"Total","Valcea","1996","270"
"Total","Valcea","1997","271"
"Total","Valcea","1998","271"
"Total","Valcea","1999","271"
"Total","Valcea","2000","271"
"Total","Valcea","2001","271"
"Total","Valcea","2002","271"
"Total","Valcea","2003","269"
"Total","Valcea","2004","270"
"Total","Valcea","2005","269"
"Total","Valcea","2006","267"
"Total","Valcea","2007","267"
"Total","Valcea","2008","267"
"Total","Valcea","2009","270"
"Total","Valcea","2010","270"
"Total","Valcea","2011","270"
"Total","Valcea","2012","271"
"Total","Valcea","2013","271"
"Total","Valcea","2014","271"
"Total","Valcea","2015","271"
"Total","Valcea","2016","271"
"Total","Valcea","2017","272"
"Total","Valcea","2018","272"
"Total","Valcea","2019","272"
"Total","Arad","1990","203"
"Total","Arad","1991","203"
"Total","Arad","1992","203"
"Total","Arad","1993","207"
"Total","Arad","1994","204"
"Total","Arad","1995","203"
"Total","Arad","1996","204"
"Total","Arad","1997","204"
"Total","Arad","1998","204"
"Total","Arad","1999","204"
"Total","Arad","2000","203"
"Total","Arad","2001","204"
"Total","Arad","2002","204"
"Total","Arad","2003","202"
"Total","Arad","2004","202"
"Total","Arad","2005","201"
"Total","Arad","2006","201"
"Total","Arad","2007","204"
"Total","Arad","2008","205"
"Total","Arad","2009","208"
"Total","Arad","2010","210"
"Total","Arad","2011","212"
"Total","Arad","2012","212"
"Total","Arad","2013","212"
"Total","Arad","2014","212"
"Total","Arad","2015","212"
"Total","Arad","2016","212"
"Total","Arad","2017","212"
"Total","Arad","2018","212"
"Total","Arad","2019","212"
"Total","Caras-Severin","1990","391"
"Total","Caras-Severin","1991","391"
"Total","Caras-Severin","1992","391"
"Total","Caras-Severin","1993","391"
"Total","Caras-Severin","1994","390"
"Total","Caras-Severin","1995","391"
"Total","Caras-Severin","1996","391"
"Total","Caras-Severin","1997","390"
"Total","Caras-Severin","1998","389"
"Total","Caras-Severin","1999","389"
"Total","Caras-Severin","2000","389"
"Total","Caras-Severin","2001","389"
"Total","Caras-Severin","2002","389"
"Total","Caras-Severin","2003","389"
"Total","Caras-Severin","2004","389"
"Total","Caras-Severin","2005","389"
"Total","Caras-Severin","2006","403"
"Total","Caras-Severin","2007","404"
"Total","Caras-Severin","2008","403"
"Total","Caras-Severin","2009","403"
"Total","Caras-Severin","2010","410"
"Total","Caras-Severin","2011","410"
"Total","Caras-Severin","2012","411"
"Total","Caras-Severin","2013","416"
"Total","Caras-Severin","2014","416"
"Total","Caras-Severin","2015","420"
"Total","Caras-Severin","2016","421"
"Total","Caras-Severin","2017","421"
"Total","Caras-Severin","2018","428"
"Total","Caras-Severin","2019","431"
"Total","Hunedoara","1990","305"
"Total","Hunedoara","1991","305"
"Total","Hunedoara","1992","305"
"Total","Hunedoara","1993","303"
"Total","Hunedoara","1994","303"
"Total","Hunedoara","1995","309"
"Total","Hunedoara","1996","309"
"Total","Hunedoara","1997","309"
"Total","Hunedoara","1998","309"
"Total","Hunedoara","1999","309"
"Total","Hunedoara","2000","309"
"Total","Hunedoara","2001","309"
"Total","Hunedoara","2002","310"
"Total","Hunedoara","2003","310"
"Total","Hunedoara","2004","310"
"Total","Hunedoara","2005","310"
"Total","Hunedoara","2006","311"
"Total","Hunedoara","2007","311"
"Total","Hunedoara","2008","311"
"Total","Hunedoara","2009","312"
"Total","Hunedoara","2010","313"
"Total","Hunedoara","2011","314"
"Total","Hunedoara","2012","314"
"Total","Hunedoara","2013","315"
"Total","Hunedoara","2014","317"
"Total","Hunedoara","2015","317"
"Total","Hunedoara","2016","317"
"Total","Hunedoara","2017","318"
"Total","Hunedoara","2018","318"
"Total","Hunedoara","2019","318"
"Total","Timis","1990","101"
"Total","Timis","1991","101"
"Total","Timis","1992","101"
"Total","Timis","1993","101"
"Total","Timis","1994","101"
"Total","Timis","1995","101"
"Total","Timis","1996","101"
"Total","Timis","1997","101"
"Total","Timis","1998","101"
"Total","Timis","1999","101"
"Total","Timis","2000","102"
"Total","Timis","2001","102"
"Total","Timis","2002","102"
"Total","Timis","2003","103"
"Total","Timis","2004","103"
"Total","Timis","2005","103"
"Total","Timis","2006","103"
"Total","Timis","2007","104"
"Total","Timis","2008","105"
"Total","Timis","2009","104"
"Total","Timis","2010","105"
"Total","Timis","2011","105"
"Total","Timis","2012","105"
"Total","Timis","2013","105"
"Total","Timis","2014","105"
"Total","Timis","2015","105"
"Total","Timis","2016","105"
"Total","Timis","2017","106"
"Total","Timis","2018","106"
"Total","Timis","2019","107"
